ID,Source,Target,Linea,Weight
1,1,2,1,1
2,2,3,1,1
3,3,4,1,1
4,4,5,1,1
5,5,6,1,1
6,6,7,1,1
7,7,8,1,1
8,8,9,1,1
9,9,10,1,1
10,10,11,1,1
11,11,12,1,1
12,12,13,1,1
13,13,14,1,1
14,14,15,1,1
15,15,16,1,1
16,16,17,1,1
17,17,18,1,1
18,18,19,1,1
19,19,20,1,1
20,21,22,2,1
21,22,23,2,1
22,23,24,2,1
23,24,25,2,1
24,25,26,2,1
25,26,27,2,1
26,27,28,2,1
27,28,29,2,1
28,29,30,2,1
29,30,31,2,1
30,31,32,2,1
31,32,33,2,1
32,33,11,2,1
33,11,34,2,1
34,34,35,2,1
35,35,36,2,1
36,36,37,2,1
37,37,38,2,1
38,38,39,2,1
39,39,40,2,1
40,40,41,2,1
41,41,42,2,1
42,42,43,2,1
43,44,45,3,1
44,45,46,3,1
45,46,47,3,1
46,47,48,3,1
47,48,49,3,1
48,49,30,3,1
49,30,50,3,1
50,50,8,3,1
51,8,51,3,1
52,51,52,3,1
53,52,53,3,1
54,53,54,3,1
55,54,55,3,1
56,55,56,3,1
57,56,57,3,1
58,57,58,3,1
59,58,59,3,1
60,59,60,3,1
61,60,61,3,1
62,61,62,3,1
63,63,64,4,1
64,64,65,4,1
65,65,66,4,1
66,66,67,4,1
67,67,68,4,1
68,68,14,4,1
69,14,69,4,1
70,69,70,4,1
71,70,71,4,1
72,72,73,5,1
73,73,74,5,1
74,74,47,5,1
75,47,75,5,1
76,75,76,5,1
77,76,66,5,1
78,66,77,5,1
79,77,78,5,1
80,78,79,5,1
81,79,80,5,1
82,80,81,5,1
83,81,20,5,1
84,82,83,6,1
85,83,84,6,1
86,84,85,6,1
87,85,86,6,1
88,86,87,6,1
89,87,73,6,1
90,73,88,6,1
91,88,45,6,1
92,45,89,6,1
93,89,63,6,1
94,82,90,7,1
95,90,91,7,1
96,91,92,7,1
97,92,23,7,1
98,23,93,7,1
99,93,94,7,1
100,94,95,7,1
101,95,96,7,1
102,96,2,7,1
103,2,97,7,1
104,97,98,7,1
105,98,99,7,1
106,99,100,7,1
107,101,31,8,1
108,31,102,8,1
109,102,9,8,1
110,9,103,8,1
111,103,104,8,1
112,104,35,8,1
113,35,105,8,1
114,105,71,8,1
115,71,106,8,1
116,106,107,8,1
117,107,108,8,1
118,108,109,8,1
119,109,110,8,1
120,110,111,8,1
121,111,112,8,1
122,112,113,8,1
123,113,114,8,1
124,114,115,8,1
125,2,116,9,1
126,116,117,9,1
127,117,53,9,1
128,53,118,9,1
129,118,35,9,1
130,35,70,9,1
131,70,119,9,1
132,119,120,9,1
133,120,121,9,1
134,121,122,9,1
135,122,20,9,1
136,20,123,10,1
137,123,124,10,1
138,124,125,10,1
139,125,126,10,1
140,126,127,10,1
141,127,128,10,1
142,128,129,10,1
143,129,130,10,1
144,130,131,10,1
145,132,49,11,1
146,49,101,11,1
147,101,133,11,1
148,133,134,11,1
149,134,68,11,1
150,68,14,11,1
151,14,135,11,1
152,135,136,11,1
153,136,79,11,1
154,79,137,11,1
155,137,138,11,1
156,138,139,11,1
157,139,140,11,1
158,140,141,11,1
159,141,142,11,1
160,142,143,11,1
161,143,144,11,1
162,144,145,11,1
163,145,146,11,1
164,146,147,11,1
